product_id,product_loaded_at,product_category,product_created_at,prodcut_updated_at,product_title,variant_id,variant_sku,variant_title,variant_created_at,variant_updated_at,variant_option1,variant_option2
199052853261,12/21/2019 15:59:57,Flat Sheet,12/8/2017 20:12:37,12/21/2019 15:32:36,Classic Hemmed Flat Sheet,2066820890637,DFLTFLS30NDN,Dune / Full,12/8/2017 20:12:38,12/9/2019 19:03:22,,
199052853261,12/12/2019 20:44:28,Flat Sheet,12/8/2017 20:12:37,12/12/2019 20:16:48,Classic Hemmed Flat Sheet,31111823294523,SFLSSBRF,Beige / Full,11/29/2019 19:42:41,11/29/2019 19:43:04,,
5505404673,1/8/2020 0:04:39,Fitted Sheets,3/23/2016 0:05:38,1/7/2020 23:29:40,Classic Fitted Sheet,16872069697,DFITKIS30NPW,Pewter / King,3/23/2016 0:05:38,1/6/2020 19:03:45,,
5505404673,9/21/2020 14:01:22,Fitted Sheets,3/23/2016 0:05:38,9/21/2020 13:35:33,Classic Fitted Sheet,16872069121,DFITCKS30NNU,Natural / California King,3/23/2016 0:05:38,9/6/2020 18:37:55,,
5505404673,1/20/2020 21:37:09,Fitted Sheets,3/23/2016 0:05:38,1/20/2020 21:27:35,Classic Fitted Sheet,16872069953,DFITKIS30NIV,Ivory / King,3/23/2016 0:05:38,1/18/2020 16:39:10,,
5505404673,8/31/2020 14:05:40,Fitted Sheets,3/23/2016 0:05:38,8/31/2020 13:55:11,Classic Fitted Sheet,31117433765947,SFTSSBLK,Mineral / King,12/3/2019 18:45:53,8/7/2020 21:20:30,,
5505404673,8/26/2020 14:31:42,Fitted Sheets,3/23/2016 0:05:38,8/26/2020 14:25:06,Classic Fitted Sheet,16872070145,DFITQUS30NPW,Pewter / Queen,3/23/2016 0:05:38,8/26/2020 14:09:55,,
5505404673,8/6/2020 0:31:44,Fitted Sheets,3/23/2016 0:05:38,8/6/2020 0:25:10,Classic Fitted Sheet,2768942694413,DFITFLS30NSH,Shore / Full,1/2/2018 16:53:44,8/3/2020 0:49:55,,
5505404673,8/4/2020 14:35:23,Fitted Sheets,3/23/2016 0:05:38,8/4/2020 14:20:02,Classic Fitted Sheet,2768799268877,DFITTWXS30NIV,Ivory / Twin XL,1/2/2018 16:44:10,6/25/2020 19:10:02,,
5505404673,8/4/2020 14:35:23,Fitted Sheets,3/23/2016 0:05:38,8/4/2020 14:20:02,Classic Fitted Sheet,2768850878477,DFITTWXS30NNV,Navy / Twin XL,1/2/2018 16:47:22,1/13/2020 20:44:05,,
5505404673,8/29/2020 23:31:42,Fitted Sheets,3/23/2016 0:05:38,8/29/2020 23:15:22,Classic Fitted Sheet,42260587149,DFITKIS30NDN,Dune / King,9/5/2017 19:00:06,8/29/2020 19:39:45,,
5505404673,9/20/2020 15:04:31,Fitted Sheets,3/23/2016 0:05:38,9/20/2020 14:30:05,Classic Fitted Sheet,16872069825,DFITKIS30NWT,White / King,3/23/2016 0:05:38,9/20/2020 14:28:43,,
5505404673,9/23/2020 16:34:41,Fitted Sheets,3/23/2016 0:05:38,9/23/2020 16:15:06,Classic Fitted Sheet,16872069249,DFITCKS30NPW,Pewter / California King,3/23/2016 0:05:38,9/6/2020 18:37:55,,
5505404673,8/7/2020 6:31:29,Fitted Sheets,3/23/2016 0:05:38,8/7/2020 6:03:30,Classic Fitted Sheet,2768903569421,DFITFLS30NIV,Ivory / Full,1/2/2018 16:51:03,7/11/2020 21:11:15,,
5505404673,6/24/2020 18:34:29,Fitted Sheets,3/23/2016 0:05:38,6/24/2020 18:10:27,Classic Fitted Sheet,2768973070349,DFITFLS30NST,Stone / Full,1/2/2018 16:56:08,6/1/2020 19:06:33,,
5505404673,4/10/2020 2:35:00,Fitted Sheets,3/23/2016 0:05:38,4/10/2020 2:00:28,Classic Fitted Sheet,2768799268877,DFITTWXS30NIV,Ivory / Twin XL,1/2/2018 16:44:10,3/27/2020 13:36:56,,
5505404673,4/10/2020 2:35:00,Fitted Sheets,3/23/2016 0:05:38,4/10/2020 2:00:28,Classic Fitted Sheet,2768973070349,DFITFLS30NST,Stone / Full,1/2/2018 16:56:08,3/29/2020 23:17:34,,
5505404673,2/4/2020 1:03:09,Fitted Sheets,3/23/2016 0:05:38,2/4/2020 0:50:35,Classic Fitted Sheet,2768852647949,DFITTWXS30NPW,Pewter / Twin XL,1/2/2018 16:47:39,1/13/2020 20:44:05,,
5505404673,4/13/2020 16:05:15,Fitted Sheets,3/23/2016 0:05:38,4/13/2020 15:55:04,Classic Fitted Sheet,2768838950925,DFITTWX30NDN,Dune / Twin XL,1/2/2018 16:46:41,4/11/2020 17:49:03,,
5505404673,5/29/2020 15:57:33,Fitted Sheets,3/23/2016 0:05:38,5/29/2020 15:55:00,Classic Fitted Sheet,16872070209,DFITQUS30NST,Stone / Queen,3/23/2016 0:05:38,5/28/2020 22:04:14,,
5505404673,2/10/2020 18:58:08,Fitted Sheets,3/23/2016 0:05:38,2/10/2020 18:27:46,Classic Fitted Sheet,16872069761,DFITKIS30NST,Stone / King,3/23/2016 0:05:38,2/10/2020 1:02:41,,
5505404673,2/22/2020 9:06:11,Fitted Sheets,3/23/2016 0:05:38,2/22/2020 8:42:22,Classic Fitted Sheet,2768938663949,DFITTFL30NDN,Dune / Full,1/2/2018 16:53:22,2/19/2020 17:09:45,,
5505404673,6/25/2020 22:32:24,Fitted Sheets,3/23/2016 0:05:38,6/25/2020 22:05:03,Classic Fitted Sheet,2768845111309,DFITTWXS30NSH,Shore / Twin XL,1/2/2018 16:47:03,6/1/2020 18:59:52,,
5505404673,4/9/2020 4:29:07,Fitted Sheets,3/23/2016 0:05:38,4/9/2020 4:25:27,Classic Fitted Sheet,2768799268877,DFITTWXS30NIV,Ivory / Twin XL,1/2/2018 16:44:10,3/27/2020 13:36:56,,
5505404673,6/16/2020 2:30:52,Fitted Sheets,3/23/2016 0:05:38,6/16/2020 2:15:14,Classic Fitted Sheet,31117403455547,SFTSSBRK,Beige / King,12/3/2019 18:18:03,6/13/2020 23:55:25,,
5505404673,7/19/2020 18:31:19,Fitted Sheets,3/23/2016 0:05:38,7/19/2020 18:15:04,Classic Fitted Sheet,2768898261005,DFITFLS30NWT,White / Full,1/2/2018 16:50:44,7/19/2020 6:59:45,,
5505404673,7/19/2020 18:31:19,Fitted Sheets,3/23/2016 0:05:38,7/19/2020 18:15:04,Classic Fitted Sheet,2768942694413,DFITFLS30NSH,Shore / Full,1/2/2018 16:53:44,7/14/2020 0:59:16,,
5505404673,3/19/2020 18:34:17,Fitted Sheets,3/23/2016 0:05:38,3/19/2020 18:19:25,Classic Fitted Sheet,2768903569421,DFITFLS30NIV,Ivory / Full,1/2/2018 16:51:03,3/14/2020 19:54:55,,
5505404673,6/13/2020 21:36:02,Fitted Sheets,3/23/2016 0:05:38,6/13/2020 21:25:11,Classic Fitted Sheet,31117405388859,SFTSSBRCK,Beige / California King,12/3/2019 18:19:57,6/8/2020 13:19:27,,
5505404673,4/17/2020 19:31:38,Fitted Sheets,3/23/2016 0:05:38,4/17/2020 19:26:10,Classic Fitted Sheet,2768752640013,DFITTWS30NSH,Shore / Twin,1/2/2018 16:41:36,4/7/2020 6:10:07,,
5505404673,2/12/2020 14:28:40,Fitted Sheets,3/23/2016 0:05:38,2/12/2020 14:25:03,Classic Fitted Sheet,16872069953,DFITKIS30NIV,Ivory / King,3/23/2016 0:05:38,2/11/2020 21:20:56,,
